POI_TYPE,POI_ADD,POSTCODE,XCOORD,YCOORD,LONGITUDE,LATITUDE
RAMP,71 Woodlands Ave 3,739044,21404.4326,46038.1104,103.773679,1.432014
RAMP,71 Woodlands Avenue 3,739044,21404.4326,46038.1104,103.773357,1.432078
RAMP,Bus Stop 46529(Opp Marsiling Station) Woodlands Ave 3,739044,21404.4326,46038.1104,103.7743892,1.4322011
RAMP,Bus Stop 46591 Block 303 Woodlands Ave 1,,,,103.773374,1.430696
RAMP,Block 406 Woodlands Street 41,730406,21257.1874,45681.8261,103.772541,1.429119
RAMP,Block 411 Woodlands Street 41,730411,21267.3983,45583.4495,103.772646,1.429045
RAMP,Block 426 Woodlands Street 41,730426,21318.9488,45428.5548,103.773165,1.42749
RAMP,Block 425 Woodlands Street 41,730425,21398.3014,45428.5281,103.77386,1.427103
RAMP,Block 418 Woodlands Street 41,730418,21484.89,45622.5984,103.774941,1.42888
RAMP,Bus Stop 36521 Woodlands Ave 3,,,,103.777481,1.432306
RAMP,Block 348 Woodlands Ave 3,730348,22275.8168,46072.7464,103.781895,1.432944
RAMP,Block 365 Woodlands Ave 5,730365,22916.015,46225.2073,103.78775,1.434241
RAMP,Block 302 Woodlands Street 31,730302,21446.41,45914.8305,103.774639,1.431536
RAMP,"Block 303, Woodlands Street 31",730303,21372.1966,45852.8976,103.774003,1.430999
RAMP,Block 305 Woodlands Street 31,730305,21410.1258,45787.7046,103.774129,1.430465
RAMP,Block 306 Woodlands 31,730306,21469.5665,45739.9857,103.774809,1.429942
RAMP,Block 332 Woodlands Street 32,730332,21970.1641,45719.7192,103.779085,1.429716
RAMP,Block 328 Woodlands Street 32,730328,21970.1641,45719.7192,103.779302,1.430075
RAMP,Block 326 Woodlands Street 32,730326,22019.974,45794.2999,103.779271,1.430436
RAMP,Block 325 Woodlands Street 32,730325,22012.77,45834.9555,103.779283,1.430809
RAMP,Block 354 Woodlands Avenue 1,730354,22630.1401,46012.1703,103.785053,1.432385
